▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://0.0.0.0:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 962ms
 GET /test-chat-timeout 200 in 1849ms (compile: 1576ms, proxy.ts: 126ms, render: 147ms)
 GET /test-empty-badge-eval 200 in 173ms (compile: 14ms, proxy.ts: 14ms, render: 146ms)
 GET /test-price-feed 200 in 176ms (compile: 25ms, proxy.ts: 14ms, render: 137ms)
 GET /test-chat-timeout 200 in 176ms (compile: 39ms, proxy.ts: 16ms, render: 121ms)
 GET /test-empty-badge-eval 200 in 174ms (compile: 13ms, proxy.ts: 20ms, render: 141ms)
 GET /test-price-feed 200 in 169ms (compile: 27ms, proxy.ts: 15ms, render: 127ms)
 GET /test-chat-timeout 200 in 172ms (compile: 40ms, proxy.ts: 15ms, render: 117ms)
 GET /test-empty-badge-eval 200 in 182ms (compile: 14ms, proxy.ts: 14ms, render: 155ms)
 GET /test-price-feed 200 in 183ms (compile: 29ms, proxy.ts: 13ms, render: 141ms)
 GET /test-chat-timeout 200 in 187ms (compile: 41ms, proxy.ts: 16ms, render: 130ms)
 GET /test-empty-badge-eval 200 in 175ms (compile: 13ms, proxy.ts: 13ms, render: 148ms)
 GET /test-price-feed 200 in 179ms (compile: 31ms, proxy.ts: 14ms, render: 134ms)
 GET /test-chat-timeout 200 in 178ms (compile: 50ms, proxy.ts: 16ms, render: 113ms)
 GET /test-empty-badge-eval 200 in 159ms (compile: 10ms, proxy.ts: 12ms, render: 137ms)
 GET /test-price-feed 200 in 160ms (compile: 25ms, proxy.ts: 12ms, render: 122ms)
 GET /test-chat-timeout 200 in 165ms (compile: 38ms, proxy.ts: 13ms, render: 115ms)
 GET /test-empty-badge-eval 200 in 176ms (compile: 8ms, proxy.ts: 13ms, render: 155ms)
 GET /test-price-feed 200 in 177ms (compile: 29ms, proxy.ts: 13ms, render: 135ms)
 GET /test-chat-timeout 200 in 181ms (compile: 45ms, proxy.ts: 13ms, render: 122ms)
 GET /test-empty-badge-eval 200 in 182ms (compile: 9ms, proxy.ts: 17ms, render: 157ms)
 GET /test-price-feed 200 in 187ms (compile: 26ms, proxy.ts: 17ms, render: 144ms)
 GET /test-chat-timeout 200 in 191ms (compile: 42ms, proxy.ts: 16ms, render: 132ms)
 GET /test-chat-timeout 200 in 189ms (compile: 45ms, proxy.ts: 15ms, render: 129ms)
 GET /test-chat-timeout 200 in 108ms (compile: 55ms, proxy.ts: 18ms, render: 35ms)
 GET /test-empty-badge-eval 200 in 213ms (compile: 9ms, proxy.ts: 24ms, render: 180ms)
 GET /test-price-feed 200 in 210ms (compile: 27ms, proxy.ts: 15ms, render: 167ms)
 GET /test-empty-badge-eval 200 in 201ms (compile: 16ms, proxy.ts: 14ms, render: 171ms)
 GET /test-price-feed 200 in 201ms (compile: 40ms, proxy.ts: 15ms, render: 147ms)
 GET /test-empty-badge-eval 200 in 173ms (compile: 9ms, proxy.ts: 17ms, render: 147ms)
 GET /test-price-feed 200 in 172ms (compile: 41ms, proxy.ts: 16ms, render: 115ms)
 GET /test-empty-badge-eval 200 in 143ms (compile: 9ms, proxy.ts: 14ms, render: 119ms)
 GET /test-price-feed 200 in 144ms (compile: 34ms, proxy.ts: 15ms, render: 96ms)
 GET /test-price-feed 200 in 118ms (compile: 28ms, proxy.ts: 12ms, render: 78ms)
 GET /test-empty-badge-eval 200 in 123ms (compile: 10ms, proxy.ts: 12ms, render: 101ms)
 GET /test-empty-badge-eval 200 in 113ms (compile: 5ms, proxy.ts: 11ms, render: 97ms)
 GET /test-price-feed 200 in 114ms (compile: 22ms, proxy.ts: 12ms, render: 81ms)
 GET /test-empty-badge-eval 200 in 121ms (compile: 5ms, proxy.ts: 12ms, render: 104ms)
 GET /test-price-feed 200 in 122ms (compile: 25ms, proxy.ts: 10ms, render: 86ms)
 GET /test-empty-badge-eval 200 in 141ms (compile: 7ms, proxy.ts: 8ms, render: 125ms)
 GET /test-price-feed 200 in 146ms (compile: 23ms, proxy.ts: 9ms, render: 114ms)
 GET /test-price-feed 200 in 143ms (compile: 30ms, proxy.ts: 11ms, render: 103ms)
 GET /test-empty-badge-eval 200 in 147ms (compile: 9ms, proxy.ts: 10ms, render: 127ms)
 GET /test-empty-badge-eval 200 in 134ms (compile: 7ms, proxy.ts: 16ms, render: 110ms)
 GET /test-price-feed 200 in 135ms (compile: 26ms, proxy.ts: 17ms, render: 92ms)
 GET /test-empty-badge-eval 200 in 135ms (compile: 10ms, proxy.ts: 9ms, render: 116ms)
 GET /test-price-feed 200 in 134ms (compile: 28ms, proxy.ts: 9ms, render: 97ms)
 GET /test-empty-badge-eval 200 in 125ms (compile: 12ms, proxy.ts: 12ms, render: 101ms)
 GET /test-price-feed 200 in 125ms (compile: 31ms, proxy.ts: 13ms, render: 81ms)
 GET /test-empty-badge-eval 200 in 110ms (compile: 5ms, proxy.ts: 11ms, render: 95ms)
 GET /test-price-feed 200 in 110ms (compile: 27ms, proxy.ts: 10ms, render: 73ms)
 GET /test-empty-badge-eval 200 in 104ms (compile: 8ms, proxy.ts: 8ms, render: 88ms)
 GET /test-price-feed 200 in 108ms (compile: 21ms, proxy.ts: 10ms, render: 77ms)
 GET /test-empty-badge-eval 200 in 137ms (compile: 9ms, proxy.ts: 7ms, render: 121ms)
 GET /test-price-feed 200 in 137ms (compile: 24ms, proxy.ts: 8ms, render: 105ms)
 GET /test-empty-badge-eval 200 in 135ms (compile: 8ms, proxy.ts: 8ms, render: 119ms)
 GET /test-price-feed 200 in 135ms (compile: 25ms, proxy.ts: 10ms, render: 100ms)
 GET /test-empty-badge-eval 200 in 106ms (compile: 8ms, proxy.ts: 10ms, render: 88ms)
 GET /test-price-feed 200 in 105ms (compile: 23ms, proxy.ts: 11ms, render: 71ms)
 GET /test-empty-badge-eval 200 in 99ms (compile: 8ms, proxy.ts: 7ms, render: 84ms)
 GET /test-price-feed 200 in 102ms (compile: 24ms, proxy.ts: 7ms, render: 70ms)
 GET /test-empty-badge-eval 200 in 107ms (compile: 6ms, proxy.ts: 9ms, render: 92ms)
 GET /test-price-feed 200 in 107ms (compile: 21ms, proxy.ts: 10ms, render: 76ms)
 GET /test-empty-badge-eval 200 in 120ms (compile: 9ms, proxy.ts: 10ms, render: 101ms)
 GET /test-price-feed 200 in 118ms (compile: 23ms, proxy.ts: 10ms, render: 85ms)
 GET /test-empty-badge-eval 200 in 119ms (compile: 8ms, proxy.ts: 11ms, render: 100ms)
 GET /test-price-feed 200 in 118ms (compile: 25ms, proxy.ts: 12ms, render: 81ms)
 GET /test-empty-badge-eval 200 in 114ms (compile: 9ms, proxy.ts: 11ms, render: 94ms)
 GET /test-price-feed 200 in 113ms (compile: 24ms, proxy.ts: 10ms, render: 79ms)
 GET /test-price-feed 200 in 117ms (compile: 26ms, proxy.ts: 9ms, render: 81ms)
 GET /test-empty-badge-eval 200 in 119ms (compile: 9ms, proxy.ts: 8ms, render: 102ms)
 GET /test-empty-badge-eval 200 in 110ms (compile: 5ms, proxy.ts: 11ms, render: 95ms)
 GET /test-price-feed 200 in 110ms (compile: 22ms, proxy.ts: 11ms, render: 77ms)
 GET /test-empty-badge-eval 200 in 106ms (compile: 9ms, proxy.ts: 8ms, render: 89ms)
 GET /test-price-feed 200 in 107ms (compile: 22ms, proxy.ts: 9ms, render: 76ms)
 GET /test-empty-badge-eval 200 in 115ms (compile: 5ms, proxy.ts: 8ms, render: 103ms)
 GET /test-price-feed 200 in 116ms (compile: 21ms, proxy.ts: 6ms, render: 88ms)
 GET /test-price-feed 200 in 104ms (compile: 6ms, proxy.ts: 10ms, render: 88ms)
 GET /test-empty-badge-eval 200 in 107ms (compile: 28ms, proxy.ts: 8ms, render: 70ms)
 GET /test-price-feed 200 in 97ms (compile: 5ms, proxy.ts: 11ms, render: 82ms)
 GET /test-empty-badge-eval 200 in 97ms (compile: 18ms, proxy.ts: 10ms, render: 68ms)
 GET /test-price-feed 200 in 100ms (compile: 6ms, proxy.ts: 7ms, render: 87ms)
 GET /test-empty-badge-eval 200 in 102ms (compile: 20ms, proxy.ts: 9ms, render: 73ms)
 GET /test-price-feed 200 in 110ms (compile: 8ms, proxy.ts: 8ms, render: 95ms)
 GET /test-empty-badge-eval 200 in 114ms (compile: 25ms, proxy.ts: 8ms, render: 81ms)
 GET /test-price-feed 200 in 119ms (compile: 6ms, proxy.ts: 10ms, render: 103ms)
 GET /test-empty-badge-eval 200 in 121ms (compile: 22ms, proxy.ts: 10ms, render: 89ms)
 GET /test-price-feed 200 in 122ms (compile: 6ms, proxy.ts: 11ms, render: 105ms)
 GET /test-empty-badge-eval 200 in 120ms (compile: 24ms, proxy.ts: 10ms, render: 86ms)
 GET /test-empty-badge-eval 200 in 113ms (compile: 24ms, proxy.ts: 12ms, render: 77ms)
 GET /test-price-feed 200 in 115ms (compile: 7ms, proxy.ts: 12ms, render: 96ms)
 GET /test-price-feed 200 in 113ms (compile: 11ms, proxy.ts: 11ms, render: 92ms)
 GET /test-empty-badge-eval 200 in 111ms (compile: 29ms, proxy.ts: 9ms, render: 73ms)
 GET /test-price-feed 200 in 99ms (compile: 7ms, proxy.ts: 8ms, render: 84ms)
 GET /test-empty-badge-eval 200 in 102ms (compile: 27ms, proxy.ts: 7ms, render: 68ms)
 GET /test-price-feed 200 in 87ms (compile: 6ms, proxy.ts: 9ms, render: 72ms)
 GET /test-empty-badge-eval 200 in 86ms (compile: 16ms, proxy.ts: 10ms, render: 60ms)
 GET /test-price-feed 200 in 93ms (compile: 4ms, proxy.ts: 9ms, render: 79ms)
 GET /test-empty-badge-eval 200 in 94ms (compile: 19ms, proxy.ts: 10ms, render: 66ms)
 GET /test-price-feed 200 in 113ms (compile: 5ms, proxy.ts: 13ms, render: 94ms)
 GET /test-empty-badge-eval 200 in 112ms (compile: 19ms, proxy.ts: 13ms, render: 81ms)
 GET /test-price-feed 200 in 122ms (compile: 5ms, proxy.ts: 16ms, render: 100ms)
 GET /test-empty-badge-eval 200 in 123ms (compile: 29ms, proxy.ts: 15ms, render: 79ms)
 GET /test-empty-badge-eval 200 in 111ms (compile: 22ms, proxy.ts: 10ms, render: 80ms)
 GET /test-price-feed 200 in 114ms (compile: 4ms, proxy.ts: 11ms, render: 100ms)
 GET /test-price-feed 200 in 100ms (compile: 7ms, proxy.ts: 9ms, render: 84ms)
 GET /test-empty-badge-eval 200 in 101ms (compile: 19ms, proxy.ts: 10ms, render: 72ms)
 GET /test-price-feed 200 in 98ms (compile: 7ms, proxy.ts: 7ms, render: 84ms)
 GET /test-empty-badge-eval 200 in 99ms (compile: 24ms, proxy.ts: 8ms, render: 67ms)
 GET /test-price-feed 200 in 90ms (compile: 7ms, proxy.ts: 8ms, render: 76ms)
 GET /test-empty-badge-eval 200 in 93ms (compile: 20ms, proxy.ts: 8ms, render: 65ms)
 GET /test-empty-badge-eval 200 in 91ms (compile: 18ms, proxy.ts: 8ms, render: 65ms)
 GET /test-price-feed 200 in 93ms (compile: 5ms, proxy.ts: 8ms, render: 80ms)
 GET /test-price-feed 200 in 93ms (compile: 4ms, proxy.ts: 10ms, render: 78ms)
 GET /test-empty-badge-eval 200 in 94ms (compile: 20ms, proxy.ts: 9ms, render: 65ms)
 GET /test-price-feed 200 in 98ms (compile: 7ms, proxy.ts: 7ms, render: 84ms)
 GET /test-empty-badge-eval 200 in 100ms (compile: 20ms, proxy.ts: 9ms, render: 72ms)
 GET /test-price-feed 200 in 122ms (compile: 7ms, proxy.ts: 9ms, render: 105ms)
 GET /test-empty-badge-eval 200 in 122ms (compile: 23ms, proxy.ts: 8ms, render: 91ms)
 GET /test-price-feed 200 in 115ms (compile: 8ms, proxy.ts: 8ms, render: 100ms)
 GET /test-empty-badge-eval 200 in 115ms (compile: 22ms, proxy.ts: 8ms, render: 84ms)
 GET /test-price-feed 200 in 104ms (compile: 8ms, proxy.ts: 16ms, render: 80ms)
 GET /test-empty-badge-eval 200 in 105ms (compile: 21ms, proxy.ts: 16ms, render: 68ms)
 GET /test-price-feed 200 in 94ms (compile: 4ms, proxy.ts: 8ms, render: 82ms)
 GET /test-empty-badge-eval 200 in 94ms (compile: 18ms, proxy.ts: 8ms, render: 67ms)
 GET /test-empty-badge-eval 200 in 96ms (compile: 18ms, proxy.ts: 10ms, render: 68ms)
 GET /test-price-feed 200 in 98ms (compile: 4ms, proxy.ts: 9ms, render: 84ms)
 GET /test-price-feed 200 in 97ms (compile: 8ms, proxy.ts: 7ms, render: 82ms)
 GET /test-empty-badge-eval 200 in 96ms (compile: 22ms, proxy.ts: 7ms, render: 67ms)
 GET /test-price-feed 200 in 89ms (compile: 6ms, proxy.ts: 7ms, render: 76ms)
 GET /test-empty-badge-eval 200 in 90ms (compile: 18ms, proxy.ts: 8ms, render: 64ms)
 GET /test-price-feed 200 in 95ms (compile: 4ms, proxy.ts: 9ms, render: 82ms)
 GET /test-empty-badge-eval 200 in 95ms (compile: 19ms, proxy.ts: 8ms, render: 69ms)
 GET /test-price-feed 200 in 109ms (compile: 7ms, proxy.ts: 8ms, render: 94ms)
 GET /test-empty-badge-eval 200 in 109ms (compile: 24ms, proxy.ts: 9ms, render: 76ms)
 GET /test-price-feed 200 in 111ms (compile: 5ms, proxy.ts: 8ms, render: 98ms)
 GET /test-empty-badge-eval 200 in 110ms (compile: 20ms, proxy.ts: 7ms, render: 83ms)
 GET /test-price-feed 200 in 100ms (compile: 5ms, proxy.ts: 9ms, render: 86ms)
 GET /test-empty-badge-eval 200 in 103ms (compile: 22ms, proxy.ts: 9ms, render: 71ms)
 GET /test-price-feed 200 in 103ms (compile: 5ms, proxy.ts: 9ms, render: 89ms)
 GET /test-empty-badge-eval 200 in 105ms (compile: 19ms, proxy.ts: 10ms, render: 76ms)
 GET /test-price-feed 200 in 99ms (compile: 5ms, proxy.ts: 18ms, render: 76ms)
 GET /test-empty-badge-eval 200 in 98ms (compile: 17ms, proxy.ts: 17ms, render: 64ms)
 GET /test-price-feed 200 in 104ms (compile: 3ms, proxy.ts: 10ms, render: 91ms)
 GET /test-empty-badge-eval 200 in 106ms (compile: 18ms, proxy.ts: 9ms, render: 79ms)
 GET /test-price-feed 200 in 114ms (compile: 6ms, proxy.ts: 6ms, render: 102ms)
 GET /test-empty-badge-eval 200 in 114ms (compile: 31ms, proxy.ts: 6ms, render: 77ms)
 GET /test-price-feed 200 in 108ms (compile: 5ms, proxy.ts: 10ms, render: 93ms)
 GET /test-empty-badge-eval 200 in 111ms (compile: 22ms, proxy.ts: 10ms, render: 79ms)
 GET /test-price-feed 200 in 116ms (compile: 7ms, proxy.ts: 13ms, render: 97ms)
 GET /test-empty-badge-eval 200 in 115ms (compile: 21ms, proxy.ts: 13ms, render: 81ms)
 GET /test-empty-badge-eval 200 in 109ms (compile: 23ms, proxy.ts: 10ms, render: 76ms)
 GET /test-price-feed 200 in 112ms (compile: 8ms, proxy.ts: 10ms, render: 94ms)
 GET /test-empty-badge-eval 200 in 98ms (compile: 19ms, proxy.ts: 9ms, render: 71ms)
 GET /test-price-feed 200 in 100ms (compile: 5ms, proxy.ts: 8ms, render: 87ms)
 GET /test-price-feed 200 in 102ms (compile: 6ms, proxy.ts: 9ms, render: 86ms)
 GET /test-empty-badge-eval 200 in 102ms (compile: 20ms, proxy.ts: 10ms, render: 71ms)
 GET /test-price-feed 200 in 104ms (compile: 8ms, proxy.ts: 7ms, render: 88ms)
 GET /test-empty-badge-eval 200 in 108ms (compile: 23ms, proxy.ts: 8ms, render: 76ms)
 GET /test-price-feed 200 in 115ms (compile: 9ms, proxy.ts: 8ms, render: 99ms)
 GET /test-empty-badge-eval 200 in 117ms (compile: 24ms, proxy.ts: 8ms, render: 85ms)
 GET /test-empty-badge-eval 200 in 231ms (compile: 20ms, proxy.ts: 17ms, render: 194ms)
 GET /test-price-feed 200 in 233ms (compile: 8ms, proxy.ts: 15ms, render: 211ms)
 GET /test-price-feed 200 in 227ms (compile: 8ms, proxy.ts: 11ms, render: 208ms)
 GET /test-empty-badge-eval 200 in 227ms (compile: 134ms, proxy.ts: 12ms, render: 81ms)
 GET /test-price-feed 200 in 99ms (compile: 5ms, proxy.ts: 9ms, render: 85ms)
 GET /test-empty-badge-eval 200 in 102ms (compile: 26ms, proxy.ts: 8ms, render: 67ms)
 GET /test-price-feed 200 in 90ms (compile: 7ms, proxy.ts: 7ms, render: 76ms)
 GET /test-empty-badge-eval 200 in 91ms (compile: 20ms, proxy.ts: 7ms, render: 64ms)
 GET /test-price-feed 200 in 92ms (compile: 5ms, proxy.ts: 9ms, render: 78ms)
 GET /test-empty-badge-eval 200 in 92ms (compile: 19ms, proxy.ts: 9ms, render: 64ms)
 GET /test-price-feed 200 in 86ms (compile: 5ms, proxy.ts: 9ms, render: 72ms)
 GET /test-empty-badge-eval 200 in 90ms (compile: 18ms, proxy.ts: 9ms, render: 62ms)
 GET /test-price-feed 200 in 92ms (compile: 5ms, proxy.ts: 6ms, render: 81ms)
 GET /test-empty-badge-eval 200 in 94ms (compile: 19ms, proxy.ts: 6ms, render: 69ms)
 GET /test-price-feed 200 in 96ms (compile: 5ms, proxy.ts: 10ms, render: 81ms)
 GET /test-empty-badge-eval 200 in 94ms (compile: 19ms, proxy.ts: 9ms, render: 66ms)
 GET /test-price-feed 200 in 94ms (compile: 5ms, proxy.ts: 9ms, render: 80ms)
 GET /test-empty-badge-eval 200 in 94ms (compile: 18ms, proxy.ts: 10ms, render: 66ms)
 GET /test-price-feed 200 in 92ms (compile: 7ms, proxy.ts: 7ms, render: 78ms)
 GET /test-empty-badge-eval 200 in 92ms (compile: 20ms, proxy.ts: 8ms, render: 65ms)
 GET /test-price-feed 200 in 100ms (compile: 5ms, proxy.ts: 8ms, render: 87ms)
 GET /test-empty-badge-eval 200 in 104ms (compile: 18ms, proxy.ts: 7ms, render: 78ms)
 GET /test-price-feed 200 in 106ms (compile: 13ms, proxy.ts: 12ms, render: 81ms)
 GET /test-empty-badge-eval 200 in 109ms (compile: 20ms, proxy.ts: 18ms, render: 72ms)
 GET /test-price-feed 200 in 100ms (compile: 5ms, proxy.ts: 11ms, render: 83ms)
 GET /test-empty-badge-eval 200 in 101ms (compile: 20ms, proxy.ts: 9ms, render: 73ms)
 GET /test-empty-badge-eval 200 in 111ms (compile: 19ms, proxy.ts: 12ms, render: 80ms)
 GET /test-price-feed 200 in 113ms (compile: 5ms, proxy.ts: 11ms, render: 96ms)
 GET /test-price-feed 200 in 113ms (compile: 10ms, proxy.ts: 12ms, render: 91ms)
 GET /test-empty-badge-eval 200 in 114ms (compile: 25ms, proxy.ts: 16ms, render: 73ms)
 GET /test-price-feed 200 in 102ms (compile: 7ms, proxy.ts: 13ms, render: 82ms)
 GET /test-empty-badge-eval 200 in 101ms (compile: 22ms, proxy.ts: 10ms, render: 68ms)
 GET /test-price-feed 200 in 100ms (compile: 5ms, proxy.ts: 9ms, render: 86ms)
 GET /test-empty-badge-eval 200 in 100ms (compile: 18ms, proxy.ts: 9ms, render: 72ms)
 GET /test-price-feed 200 in 115ms (compile: 6ms, proxy.ts: 12ms, render: 97ms)
 GET /test-empty-badge-eval 200 in 116ms (compile: 20ms, proxy.ts: 13ms, render: 84ms)
 GET /test-price-feed 200 in 111ms (compile: 10ms, proxy.ts: 11ms, render: 90ms)
 GET /test-empty-badge-eval 200 in 111ms (compile: 24ms, proxy.ts: 11ms, render: 77ms)
 GET /test-price-feed 200 in 95ms (compile: 7ms, proxy.ts: 6ms, render: 82ms)
 GET /test-empty-badge-eval 200 in 95ms (compile: 20ms, proxy.ts: 8ms, render: 68ms)
 GET /test-price-feed 200 in 91ms (compile: 7ms, proxy.ts: 8ms, render: 77ms)
 GET /test-empty-badge-eval 200 in 93ms (compile: 20ms, proxy.ts: 8ms, render: 65ms)
 GET /test-price-feed 200 in 93ms (compile: 7ms, proxy.ts: 9ms, render: 77ms)
 GET /test-empty-badge-eval 200 in 94ms (compile: 19ms, proxy.ts: 9ms, render: 66ms)
 GET /test-price-feed 200 in 90ms (compile: 5ms, proxy.ts: 8ms, render: 77ms)
 GET /test-empty-badge-eval 200 in 92ms (compile: 20ms, proxy.ts: 8ms, render: 64ms)
 GET /test-price-feed 200 in 95ms (compile: 6ms, proxy.ts: 7ms, render: 81ms)
 GET /test-empty-badge-eval 200 in 95ms (compile: 15ms, proxy.ts: 8ms, render: 72ms)
 GET /test-price-feed 200 in 98ms (compile: 5ms, proxy.ts: 9ms, render: 84ms)
 GET /test-empty-badge-eval 200 in 98ms (compile: 25ms, proxy.ts: 9ms, render: 64ms)
 GET /test-price-feed 200 in 112ms (compile: 4ms, proxy.ts: 11ms, render: 97ms)
 GET /test-empty-badge-eval 200 in 111ms (compile: 21ms, proxy.ts: 10ms, render: 80ms)
 GET /test-price-feed 200 in 116ms (compile: 10ms, proxy.ts: 8ms, render: 98ms)
 GET /test-empty-badge-eval 200 in 116ms (compile: 23ms, proxy.ts: 11ms, render: 82ms)
 GET /test-price-feed 200 in 93ms (compile: 8ms, proxy.ts: 8ms, render: 76ms)
 GET /test-empty-badge-eval 200 in 95ms (compile: 20ms, proxy.ts: 12ms, render: 64ms)
 GET /test-price-feed 200 in 87ms (compile: 6ms, proxy.ts: 6ms, render: 74ms)
 GET /test-empty-badge-eval 200 in 87ms (compile: 18ms, proxy.ts: 7ms, render: 63ms)
