
> fin@0.2.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1420ms
 GET /test-box3-verification 200 in 3.5s (compile: 3.0s, proxy.ts: 177ms, render: 266ms)
 GET /test-box3-verification 200 in 100ms (compile: 10ms, proxy.ts: 12ms, render: 78ms)
 GET /test-box3-verification 200 in 167ms (compile: 16ms, proxy.ts: 12ms, render: 139ms)
 GET /test-box3-verification 200 in 177ms (compile: 11ms, proxy.ts: 23ms, render: 142ms)
 GET /test-box3-verification 200 in 104ms (compile: 14ms, proxy.ts: 17ms, render: 74ms)
 GET /test-box3-verification 200 in 71ms (compile: 11ms, proxy.ts: 16ms, render: 44ms)
 GET /test-box3-verification 200 in 111ms (compile: 12ms, proxy.ts: 13ms, render: 86ms)
 GET /test-box3-verification 200 in 64ms (compile: 12ms, proxy.ts: 10ms, render: 43ms)
 GET /test-box3-verification 200 in 132ms (compile: 14ms, proxy.ts: 14ms, render: 104ms)
 GET /test-box3-verification 200 in 78ms (compile: 7ms, proxy.ts: 14ms, render: 57ms)
 GET /test-box3-verification 200 in 125ms (compile: 7ms, proxy.ts: 6ms, render: 112ms)
 GET /test-box3-verification 200 in 175ms (compile: 12ms, proxy.ts: 15ms, render: 148ms)
 GET /test-box3-verification 200 in 120ms (compile: 15ms, proxy.ts: 24ms, render: 81ms)
 GET /test-box3-verification 200 in 90ms (compile: 18ms, proxy.ts: 19ms, render: 53ms)
 GET /test-box3-verification 200 in 84ms (compile: 8ms, proxy.ts: 11ms, render: 65ms)
 GET /test-box3-verification 200 in 90ms (compile: 14ms, proxy.ts: 17ms, render: 58ms)
 GET /test-box3-verification 200 in 77ms (compile: 7ms, proxy.ts: 11ms, render: 58ms)
 GET /test-box3-verification 200 in 42ms (compile: 6ms, proxy.ts: 8ms, render: 28ms)
 GET /test-box3-verification 200 in 41ms (compile: 8ms, proxy.ts: 6ms, render: 27ms)
 GET /test-box3-verification 200 in 52ms (compile: 5ms, proxy.ts: 6ms, render: 42ms)
 GET /test-box3-verification 200 in 31ms (compile: 5ms, proxy.ts: 8ms, render: 19ms)
 GET /test-box3-verification 200 in 35ms (compile: 4ms, proxy.ts: 7ms, render: 23ms)
 GET /test-box3-verification 200 in 31ms (compile: 5ms, proxy.ts: 6ms, render: 20ms)
 GET /test-box3-verification 200 in 41ms (compile: 5ms, proxy.ts: 8ms, render: 29ms)
 GET /test-box3-verification 200 in 37ms (compile: 4ms, proxy.ts: 7ms, render: 26ms)
 GET /test-box3-verification 200 in 34ms (compile: 5ms, proxy.ts: 7ms, render: 22ms)
 GET /test-box3-verification 200 in 112ms (compile: 5ms, proxy.ts: 6ms, render: 101ms)
 GET /test-box3-verification 200 in 95ms (compile: 12ms, proxy.ts: 12ms, render: 71ms)
 GET /test-box3-verification 200 in 80ms (compile: 10ms, proxy.ts: 16ms, render: 54ms)
 GET /test-box3-verification 200 in 56ms (compile: 9ms, proxy.ts: 15ms, render: 32ms)
 GET /test-box3-verification 200 in 77ms (compile: 7ms, proxy.ts: 10ms, render: 60ms)
 GET /test-box3-verification 200 in 101ms (compile: 6ms, proxy.ts: 10ms, render: 85ms)
 GET /test-box3-verification 200 in 126ms (compile: 7ms, proxy.ts: 10ms, render: 109ms)
 GET /test-box3-verification 200 in 124ms (compile: 8ms, proxy.ts: 17ms, render: 99ms)
 GET /test-box3-verification 200 in 127ms (compile: 9ms, proxy.ts: 16ms, render: 102ms)
 GET /test-box3-verification 200 in 168ms (compile: 8ms, proxy.ts: 11ms, render: 149ms)
 GET /test-box3-verification 200 in 152ms (compile: 13ms, proxy.ts: 31ms, render: 109ms)
 GET /test-box3-verification 200 in 100ms (compile: 7ms, proxy.ts: 13ms, render: 80ms)
 GET /test-box3-verification 200 in 106ms (compile: 6ms, proxy.ts: 11ms, render: 89ms)
 GET /test-box3-verification 200 in 111ms (compile: 11ms, proxy.ts: 10ms, render: 90ms)
 GET /test-box3-verification 200 in 61ms (compile: 7ms, proxy.ts: 12ms, render: 42ms)
 GET /test-box3-verification 200 in 57ms (compile: 7ms, proxy.ts: 10ms, render: 41ms)
 GET /test-box3-verification 200 in 51ms (compile: 6ms, proxy.ts: 10ms, render: 35ms)
 GET /test-box3-verification 200 in 89ms (compile: 7ms, proxy.ts: 9ms, render: 73ms)
 GET /test-box3-verification 200 in 59ms (compile: 7ms, proxy.ts: 12ms, render: 39ms)
 GET /test-box3-verification 200 in 39ms (compile: 6ms, proxy.ts: 7ms, render: 26ms)
 GET /test-box3-verification 200 in 35ms (compile: 5ms, proxy.ts: 6ms, render: 24ms)
 GET /test-box3-verification 200 in 50ms (compile: 5ms, proxy.ts: 5ms, render: 41ms)
 GET /test-box3-verification 200 in 81ms (compile: 11ms, proxy.ts: 10ms, render: 59ms)
 GET /test-box3-verification 200 in 76ms (compile: 10ms, proxy.ts: 12ms, render: 54ms)
 GET /test-box3-verification 200 in 110ms (compile: 7ms, proxy.ts: 8ms, render: 94ms)
 GET /test-box3-verification 200 in 118ms (compile: 6ms, proxy.ts: 18ms, render: 94ms)
 GET /test-box3-verification 200 in 90ms (compile: 21ms, proxy.ts: 9ms, render: 60ms)
 GET /test-box3-verification 200 in 81ms (compile: 11ms, proxy.ts: 13ms, render: 57ms)
 GET /test-box3-verification 200 in 97ms (compile: 7ms, proxy.ts: 11ms, render: 78ms)
 GET /test-box3-verification 200 in 98ms (compile: 8ms, proxy.ts: 10ms, render: 81ms)
 GET /test-box3-verification 200 in 113ms (compile: 7ms, proxy.ts: 11ms, render: 95ms)
 GET /test-box3-verification 200 in 73ms (compile: 8ms, proxy.ts: 11ms, render: 54ms)
 GET /test-box3-verification 200 in 61ms (compile: 9ms, proxy.ts: 10ms, render: 41ms)
 GET /test-box3-verification 200 in 60ms (compile: 9ms, proxy.ts: 10ms, render: 41ms)
 GET /test-box3-verification 200 in 43ms (compile: 6ms, proxy.ts: 7ms, render: 30ms)
 GET /test-box3-verification 200 in 44ms (compile: 6ms, proxy.ts: 6ms, render: 32ms)
 GET /test-box3-verification 200 in 71ms (compile: 7ms, proxy.ts: 8ms, render: 56ms)
 GET /test-box3-verification 200 in 47ms (compile: 6ms, proxy.ts: 8ms, render: 32ms)
 GET /test-box3-verification 200 in 49ms (compile: 8ms, proxy.ts: 7ms, render: 35ms)
 GET /test-box3-verification 200 in 46ms (compile: 7ms, proxy.ts: 9ms, render: 30ms)
 GET /test-box3-verification 200 in 58ms (compile: 6ms, proxy.ts: 8ms, render: 43ms)
 GET /test-box3-verification 200 in 50ms (compile: 8ms, proxy.ts: 8ms, render: 34ms)
 GET /test-box3-verification 200 in 66ms (compile: 6ms, proxy.ts: 8ms, render: 52ms)
 GET /test-box3-verification 200 in 44ms (compile: 7ms, proxy.ts: 8ms, render: 29ms)
 GET /test-box3-verification 200 in 48ms (compile: 6ms, proxy.ts: 9ms, render: 34ms)
 GET /test-box3-verification 200 in 73ms (compile: 6ms, proxy.ts: 7ms, render: 60ms)
 GET /test-box3-verification 200 in 90ms (compile: 6ms, proxy.ts: 7ms, render: 77ms)
 GET /test-box3-verification 200 in 85ms (compile: 13ms, proxy.ts: 10ms, render: 62ms)
 GET /test-box3-verification 200 in 49ms (compile: 5ms, proxy.ts: 10ms, render: 33ms)
 GET /test-box3-verification 200 in 47ms (compile: 7ms, proxy.ts: 7ms, render: 32ms)
 GET /test-box3-verification 200 in 281ms (compile: 6ms, proxy.ts: 7ms, render: 267ms)
 GET /test-box3-verification 200 in 165ms (compile: 8ms, proxy.ts: 23ms, render: 134ms)
 GET /test-box3-verification 200 in 97ms (compile: 9ms, proxy.ts: 17ms, render: 71ms)
 GET /api/verify-portfolio-donut 200 in 577ms (compile: 216ms, proxy.ts: 12ms, render: 349ms)
 GET /test-box3-verification 200 in 191ms (compile: 8ms, proxy.ts: 14ms, render: 168ms)
 GET /test-box3-verification 200 in 106ms (compile: 11ms, proxy.ts: 19ms, render: 76ms)
 GET /test-box3-verification 200 in 51ms (compile: 3ms, proxy.ts: 9ms, render: 39ms)
 GET /api/verify-resilience-score 200 in 759ms (compile: 279ms, proxy.ts: 13ms, render: 467ms)
 GET /test-box3-verification 200 in 115ms (compile: 8ms, proxy.ts: 7ms, render: 101ms)
 GET /test-box3-verification 200 in 83ms (compile: 10ms, proxy.ts: 15ms, render: 58ms)
 GET /test-box3-verification 200 in 94ms (compile: 14ms, proxy.ts: 11ms, render: 69ms)
 GET /test-box3-verification 200 in 149ms (compile: 12ms, proxy.ts: 19ms, render: 118ms)
 GET /test-box3-verification 200 in 94ms (compile: 14ms, proxy.ts: 16ms, render: 64ms)
 GET /test-box3-verification 200 in 130ms (compile: 9ms, proxy.ts: 10ms, render: 111ms)
 GET /test-box3-verification 200 in 120ms (compile: 8ms, proxy.ts: 13ms, render: 98ms)
 GET /test-box3-verification 200 in 91ms (compile: 9ms, proxy.ts: 14ms, render: 69ms)
 GET /test-box3-verification 200 in 59ms (compile: 6ms, proxy.ts: 9ms, render: 43ms)
 GET /test-box3-verification 200 in 63ms (compile: 10ms, proxy.ts: 10ms, render: 43ms)
 GET /test-box3-verification 200 in 52ms (compile: 6ms, proxy.ts: 10ms, render: 36ms)
 GET /test-box3-verification 200 in 62ms (compile: 9ms, proxy.ts: 7ms, render: 46ms)
 GET /test-box3-verification 200 in 77ms (compile: 10ms, proxy.ts: 11ms, render: 56ms)
 GET /test-box3-verification 200 in 150ms (compile: 11ms, proxy.ts: 10ms, render: 130ms)
 GET /test-box3-verification 200 in 147ms (compile: 10ms, proxy.ts: 14ms, render: 123ms)
 GET /test-box3-verification 200 in 111ms (compile: 10ms, proxy.ts: 17ms, render: 84ms)
 GET /test-box3-verification 200 in 70ms (compile: 7ms, proxy.ts: 16ms, render: 48ms)
 GET /test-box3-verification 200 in 116ms (compile: 11ms, proxy.ts: 10ms, render: 96ms)
 GET /test-box3-verification 200 in 99ms (compile: 5ms, proxy.ts: 9ms, render: 85ms)
 GET /test-box3-verification 200 in 53ms (compile: 7ms, proxy.ts: 9ms, render: 36ms)
 GET /test-box3-verification 200 in 59ms (compile: 8ms, proxy.ts: 8ms, render: 43ms)
 GET /test-box3-verification 200 in 56ms (compile: 10ms, proxy.ts: 9ms, render: 37ms)
 GET /test-box3-verification 200 in 49ms (compile: 7ms, proxy.ts: 9ms, render: 34ms)
 GET /test-box3-verification 200 in 67ms (compile: 7ms, proxy.ts: 8ms, render: 52ms)
 GET /test-box3-verification 200 in 72ms (compile: 11ms, proxy.ts: 10ms, render: 52ms)
 GET /test-box3-verification 200 in 133ms (compile: 11ms, proxy.ts: 12ms, render: 110ms)
 GET /test-box3-verification 200 in 158ms (compile: 14ms, proxy.ts: 11ms, render: 132ms)
 GET /test-box3-verification 200 in 130ms (compile: 13ms, proxy.ts: 23ms, render: 94ms)
 GET /test-box3-verification 200 in 108ms (compile: 8ms, proxy.ts: 14ms, render: 86ms)
 GET /test-box3-verification 200 in 117ms (compile: 8ms, proxy.ts: 11ms, render: 98ms)
 GET /test-box3-verification 200 in 103ms (compile: 6ms, proxy.ts: 11ms, render: 86ms)
 GET /test-box3-verification 200 in 51ms (compile: 4ms, proxy.ts: 16ms, render: 31ms)
 GET /test-box3-verification 200 in 99ms (compile: 8ms, proxy.ts: 7ms, render: 84ms)
 GET /test-box3-verification 200 in 100ms (compile: 5ms, proxy.ts: 9ms, render: 86ms)
 GET /test-box3-verification 200 in 113ms (compile: 7ms, proxy.ts: 10ms, render: 96ms)
 GET /test-box3-verification 200 in 110ms (compile: 8ms, proxy.ts: 13ms, render: 89ms)
 GET /test-box3-verification 200 in 56ms (compile: 5ms, proxy.ts: 20ms, render: 31ms)
 GET /test-box3-verification 200 in 47ms (compile: 6ms, proxy.ts: 7ms, render: 34ms)
 GET /test-box3-verification 200 in 87ms (compile: 7ms, proxy.ts: 6ms, render: 74ms)
 GET /test-box3-verification 200 in 77ms (compile: 5ms, proxy.ts: 8ms, render: 64ms)
 GET /test-box3-verification 200 in 42ms (compile: 4ms, proxy.ts: 7ms, render: 31ms)
 GET /test-box3-verification 200 in 40ms (compile: 7ms, proxy.ts: 5ms, render: 28ms)
 GET /test-box3-verification 200 in 84ms (compile: 6ms, proxy.ts: 7ms, render: 71ms)
 GET /test-portfolio-allocation 200 in 1036ms (compile: 869ms, proxy.ts: 69ms, render: 98ms)
 GET /test-box3-verification 200 in 265ms (compile: 17ms, proxy.ts: 6ms, render: 242ms)
 GET /test-box3-verification 200 in 293ms (compile: 35ms, proxy.ts: 117ms, render: 141ms)
 GET /test-box3-verification 200 in 127ms (compile: 10ms, proxy.ts: 12ms, render: 104ms)
 GET /test-box3-verification 200 in 81ms (compile: 7ms, proxy.ts: 14ms, render: 60ms)
 GET /test-box3-verification 200 in 57ms (compile: 10ms, proxy.ts: 11ms, render: 36ms)
 GET /test-box3-verification 200 in 80ms (compile: 5ms, proxy.ts: 8ms, render: 67ms)
 GET /test-box3-verification 200 in 87ms (compile: 7ms, proxy.ts: 7ms, render: 74ms)
 GET /test-box3-verification 200 in 91ms (compile: 8ms, proxy.ts: 9ms, render: 75ms)
 GET /test-box3-verification 200 in 112ms (compile: 8ms, proxy.ts: 9ms, render: 95ms)
 GET /test-box3-verification 200 in 152ms (compile: 10ms, proxy.ts: 10ms, render: 132ms)
 GET /test-box3-verification 200 in 185ms (compile: 13ms, proxy.ts: 18ms, render: 155ms)
 GET /test-box3-verification 200 in 198ms (compile: 17ms, proxy.ts: 23ms, render: 158ms)
 GET /test-box3-verification 200 in 114ms (compile: 11ms, proxy.ts: 18ms, render: 84ms)
 GET /test-box3-verification 200 in 105ms (compile: 16ms, proxy.ts: 16ms, render: 74ms)
 GET /test-box3-verification 200 in 59ms (compile: 4ms, proxy.ts: 7ms, render: 47ms)
 GET /test-box3-verification 200 in 36ms (compile: 4ms, proxy.ts: 6ms, render: 27ms)
 GET /test-box3-verification 200 in 44ms (compile: 6ms, proxy.ts: 6ms, render: 31ms)
 GET /test-box3-verification 200 in 105ms (compile: 8ms, proxy.ts: 10ms, render: 87ms)
 GET /test-box3-verification 200 in 96ms (compile: 6ms, proxy.ts: 9ms, render: 80ms)
 GET /test-box3-verification 200 in 96ms (compile: 7ms, proxy.ts: 8ms, render: 81ms)
 GET /test-box3-verification 200 in 62ms (compile: 7ms, proxy.ts: 11ms, render: 43ms)
 GET /test-box3-verification 200 in 66ms (compile: 9ms, proxy.ts: 8ms, render: 49ms)
 GET /test-box3-verification 200 in 123ms (compile: 9ms, proxy.ts: 10ms, render: 104ms)
 GET /test-box3-verification 200 in 147ms (compile: 7ms, proxy.ts: 8ms, render: 132ms)
 GET /test-box3-verification 200 in 101ms (compile: 15ms, proxy.ts: 19ms, render: 66ms)
 GET /test-box3-verification 200 in 116ms (compile: 10ms, proxy.ts: 13ms, render: 93ms)
 GET /test-box3-verification 200 in 59ms (compile: 8ms, proxy.ts: 14ms, render: 37ms)
 GET /test-box3-verification 200 in 52ms (compile: 5ms, proxy.ts: 10ms, render: 37ms)
 GET /test-box3-verification 200 in 70ms (compile: 5ms, proxy.ts: 12ms, render: 53ms)
 GET /test-box3-verification 200 in 98ms (compile: 10ms, proxy.ts: 12ms, render: 76ms)
 GET /test-box3-verification 200 in 73ms (compile: 7ms, proxy.ts: 9ms, render: 57ms)
 GET /test-box3-verification 200 in 81ms (compile: 6ms, proxy.ts: 8ms, render: 67ms)
 GET /test-box3-verification 200 in 90ms (compile: 7ms, proxy.ts: 7ms, render: 76ms)
 GET /test-box3-verification 200 in 94ms (compile: 7ms, proxy.ts: 8ms, render: 79ms)
 GET /test-box3-verification 200 in 80ms (compile: 5ms, proxy.ts: 18ms, render: 57ms)
 GET /test-box3-verification 200 in 45ms (compile: 5ms, proxy.ts: 9ms, render: 31ms)
 GET /test-box3-verification 200 in 100ms (compile: 7ms, proxy.ts: 5ms, render: 88ms)
 GET /test-box3-verification 200 in 100ms (compile: 8ms, proxy.ts: 12ms, render: 80ms)
 GET /test-box3-verification 200 in 57ms (compile: 6ms, proxy.ts: 7ms, render: 44ms)
 GET /test-box3-verification 200 in 64ms (compile: 10ms, proxy.ts: 12ms, render: 42ms)
 GET /test-box3-verification 200 in 54ms (compile: 8ms, proxy.ts: 9ms, render: 37ms)
 GET /test-box3-verification 200 in 52ms (compile: 12ms, proxy.ts: 8ms, render: 32ms)
 GET /test-box3-verification 200 in 50ms (compile: 9ms, proxy.ts: 10ms, render: 31ms)
 GET /test-box3-verification 200 in 73ms (compile: 7ms, proxy.ts: 12ms, render: 54ms)
 GET /test-box3-verification 200 in 108ms (compile: 9ms, proxy.ts: 14ms, render: 85ms)
 GET /test-box3-verification 200 in 60ms (compile: 7ms, proxy.ts: 11ms, render: 42ms)
 GET /test-box3-verification 200 in 43ms (compile: 7ms, proxy.ts: 14ms, render: 21ms)
 GET /test-box3-verification 200 in 63ms (compile: 7ms, proxy.ts: 8ms, render: 47ms)
 GET /test-box3-verification 200 in 158ms (compile: 12ms, proxy.ts: 13ms, render: 133ms)
 GET /test-box3-verification 200 in 184ms (compile: 16ms, proxy.ts: 14ms, render: 154ms)
 GET /test-box3-verification 200 in 228ms (compile: 14ms, proxy.ts: 22ms, render: 192ms)
 GET /test-box3-verification 200 in 217ms (compile: 9ms, proxy.ts: 15ms, render: 194ms)
 GET /test-box3-verification 200 in 150ms (compile: 11ms, proxy.ts: 24ms, render: 114ms)
 GET /test-box3-verification 200 in 121ms (compile: 7ms, proxy.ts: 22ms, render: 93ms)
 GET /test-box3-verification 200 in 67ms (compile: 8ms, proxy.ts: 12ms, render: 47ms)
 GET /test-box3-verification 200 in 104ms (compile: 11ms, proxy.ts: 8ms, render: 85ms)
 GET /test-box3-verification 200 in 67ms (compile: 8ms, proxy.ts: 8ms, render: 50ms)
 GET /test-box3-verification 200 in 123ms (compile: 9ms, proxy.ts: 10ms, render: 104ms)
 GET /test-box3-verification 200 in 151ms (compile: 8ms, proxy.ts: 11ms, render: 133ms)
 GET /test-box3-verification 200 in 161ms (compile: 12ms, proxy.ts: 17ms, render: 132ms)
 GET /test-box3-verification 200 in 166ms (compile: 10ms, proxy.ts: 15ms, render: 142ms)
 GET /test-box3-verification 200 in 123ms (compile: 14ms, proxy.ts: 19ms, render: 90ms)
 GET /test-box3-verification 200 in 72ms (compile: 5ms, proxy.ts: 8ms, render: 59ms)
 GET /test-box3-verification 200 in 71ms (compile: 5ms, proxy.ts: 8ms, render: 58ms)
 GET /test-box3-verification 200 in 71ms (compile: 5ms, proxy.ts: 7ms, render: 59ms)
 GET /test-box3-verification 200 in 84ms (compile: 6ms, proxy.ts: 8ms, render: 71ms)
 GET /test-box3-verification 200 in 114ms (compile: 7ms, proxy.ts: 12ms, render: 96ms)
 GET /test-box3-verification 200 in 478ms (compile: 7ms, proxy.ts: 29ms, render: 443ms)
 GET /test-box3-verification 200 in 473ms (compile: 354ms, proxy.ts: 15ms, render: 104ms)
 GET /test-box3-verification 200 in 99ms (compile: 9ms, proxy.ts: 14ms, render: 76ms)
 GET /test-box3-verification 200 in 43ms (compile: 5ms, proxy.ts: 6ms, render: 32ms)
 GET /test-box3-verification 200 in 50ms (compile: 5ms, proxy.ts: 7ms, render: 37ms)
 GET /test-box3-verification 200 in 55ms (compile: 6ms, proxy.ts: 8ms, render: 42ms)
 GET /test-box3-verification 200 in 52ms (compile: 8ms, proxy.ts: 9ms, render: 35ms)
 GET /test-box3-verification 200 in 53ms (compile: 7ms, proxy.ts: 6ms, render: 39ms)
 GET /test-box3-verification 200 in 48ms (compile: 7ms, proxy.ts: 8ms, render: 33ms)
 GET /test-box3-verification 200 in 56ms (compile: 6ms, proxy.ts: 5ms, render: 44ms)
 GET /test-box3-verification 200 in 60ms (compile: 9ms, proxy.ts: 10ms, render: 42ms)
 GET /test-box3-verification 200 in 46ms (compile: 6ms, proxy.ts: 7ms, render: 33ms)
 GET /test-box3-verification 200 in 91ms (compile: 9ms, proxy.ts: 8ms, render: 74ms)
 GET /test-box3-verification 200 in 61ms (compile: 5ms, proxy.ts: 14ms, render: 42ms)
 GET /test-box3-verification 200 in 104ms (compile: 7ms, proxy.ts: 11ms, render: 86ms)
 GET /test-box3-verification 200 in 93ms (compile: 8ms, proxy.ts: 9ms, render: 76ms)
 GET /test-box3-verification 200 in 82ms (compile: 8ms, proxy.ts: 11ms, render: 64ms)
 GET /api/dev-login 200 in 244ms (compile: 201ms, proxy.ts: 35ms, render: 8ms)
 GET /test-box3-verification 200 in 197ms (compile: 7ms, proxy.ts: 8ms, render: 181ms)
 GET /test-box3-verification 200 in 241ms (compile: 52ms, proxy.ts: 14ms, render: 174ms)
 GET /test-box3-verification 200 in 105ms (compile: 14ms, proxy.ts: 15ms, render: 76ms)
 GET /api/verify-portfolio-donut 200 in 235ms (compile: 6ms, proxy.ts: 15ms, render: 213ms)
 GET /test-box3-verification 200 in 179ms (compile: 11ms, proxy.ts: 17ms, render: 151ms)
 GET /test-box3-verification 200 in 145ms (compile: 10ms, proxy.ts: 23ms, render: 112ms)
 GET /test-box3-verification 200 in 65ms (compile: 10ms, proxy.ts: 17ms, render: 38ms)
 GET /test-box3-verification 200 in 112ms (compile: 7ms, proxy.ts: 8ms, render: 98ms)
 GET /test-box3-verification 200 in 106ms (compile: 7ms, proxy.ts: 18ms, render: 81ms)
 GET /test-box3-verification 200 in 89ms (compile: 6ms, proxy.ts: 11ms, render: 72ms)
 GET /test-box3-verification 200 in 58ms (compile: 6ms, proxy.ts: 8ms, render: 44ms)
