▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1001ms
⚠ Cross origin request detected from 127.0.0.1 to /_next/* resource. In a future major version of Next.js, you will need to explicitly configure "allowedDevOrigins" in next.config to allow this.
Read more: https://nextjs.org/docs/app/api-reference/config/next-config-js/allowedDevOrigins
 GET /test-chat-timeout 200 in 1725ms (compile: 1504ms, proxy.ts: 122ms, render: 100ms)
 GET /test-chat-timeout 200 in 28ms (compile: 3ms, proxy.ts: 6ms, render: 20ms)
 GET /test-chat-timeout 200 in 27ms (compile: 4ms, proxy.ts: 4ms, render: 20ms)
 GET /test-chat-timeout 200 in 30ms (compile: 4ms, proxy.ts: 4ms, render: 21ms)
 GET /test-chat-timeout 200 in 30ms (compile: 3ms, proxy.ts: 5ms, render: 21ms)
 GET /test-chat-timeout 200 in 45ms (compile: 5ms, proxy.ts: 4ms, render: 35ms)
 GET /test-chat-timeout 200 in 44ms (compile: 3ms, proxy.ts: 5ms, render: 36ms)
 GET /test-chat-timeout 200 in 31ms (compile: 3ms, proxy.ts: 4ms, render: 23ms)
 GET /test-chat-timeout 200 in 27ms (compile: 4ms, proxy.ts: 6ms, render: 17ms)
 GET /test-chat-timeout 200 in 30ms (compile: 2ms, proxy.ts: 5ms, render: 23ms)
 GET /test-chat-timeout 200 in 51ms (compile: 4ms, proxy.ts: 6ms, render: 41ms)
 GET /test-chat-timeout 200 in 29ms (compile: 3ms, proxy.ts: 4ms, render: 23ms)
 GET /test-chat-timeout 200 in 27ms (compile: 4ms, proxy.ts: 5ms, render: 18ms)
 GET /test-chat-timeout 200 in 26ms (compile: 3ms, proxy.ts: 4ms, render: 19ms)
 GET /test-chat-timeout 200 in 27ms (compile: 4ms, proxy.ts: 4ms, render: 19ms)
 GET /test-chat-timeout 200 in 26ms (compile: 3ms, proxy.ts: 5ms, render: 18ms)
 GET /test-chat-timeout 200 in 28ms (compile: 3ms, proxy.ts: 5ms, render: 20ms)
 GET /test-chat-timeout 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 22ms)
 GET /test-chat-timeout 200 in 28ms (compile: 4ms, proxy.ts: 6ms, render: 17ms)
 GET /test-chat-timeout 200 in 23ms (compile: 3ms, proxy.ts: 5ms, render: 15ms)
 GET /test-chat-timeout 200 in 19ms (compile: 3ms, proxy.ts: 4ms, render: 13ms)
 GET /test-chat-timeout 200 in 60ms (compile: 3ms, proxy.ts: 4ms, render: 53ms)
 GET /test-chat-timeout 200 in 59ms (compile: 4ms, proxy.ts: 9ms, render: 46ms)
 GET /test-chat-timeout 200 in 30ms (compile: 2ms, proxy.ts: 4ms, render: 23ms)
 GET /test-chat-timeout 200 in 27ms (compile: 4ms, proxy.ts: 5ms, render: 19ms)
 GET /test-chat-timeout 200 in 55ms (compile: 3ms, proxy.ts: 5ms, render: 47ms)
 GET /test-chat-timeout 200 in 47ms (compile: 5ms, proxy.ts: 6ms, render: 36ms)
 GET /test-chat-timeout 200 in 30ms (compile: 4ms, proxy.ts: 6ms, render: 20ms)
 GET /test-chat-timeout 200 in 28ms (compile: 4ms, proxy.ts: 5ms, render: 20ms)
 GET /test-chat-timeout 200 in 29ms (compile: 5ms, proxy.ts: 4ms, render: 21ms)
 GET /test-chat-timeout 200 in 36ms (compile: 3ms, proxy.ts: 5ms, render: 27ms)
 GET /test-chat-timeout 200 in 28ms (compile: 5ms, proxy.ts: 5ms, render: 18ms)
 GET /test-chat-timeout 200 in 27ms (compile: 3ms, proxy.ts: 5ms, render: 20ms)
 GET /test-chat-timeout 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 20ms)
 GET /test-chat-timeout 200 in 28ms (compile: 3ms, proxy.ts: 4ms, render: 20ms)
 GET /test-chat-timeout 200 in 28ms (compile: 4ms, proxy.ts: 4ms, render: 20ms)
 GET /test-chat-timeout 200 in 28ms (compile: 3ms, proxy.ts: 6ms, render: 19ms)
 GET /test-chat-timeout 200 in 46ms (compile: 4ms, proxy.ts: 4ms, render: 39ms)
 GET /test-chat-timeout 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /test-chat-timeout 200 in 32ms (compile: 3ms, proxy.ts: 4ms, render: 25ms)
 GET /test-chat-timeout 200 in 35ms (compile: 6ms, proxy.ts: 5ms, render: 23ms)
 GET /test-chat-timeout 200 in 33ms (compile: 4ms, proxy.ts: 5ms, render: 24ms)
 GET /test-chat-timeout 200 in 42ms (compile: 5ms, proxy.ts: 5ms, render: 32ms)
 GET /test-chat-timeout 200 in 35ms (compile: 4ms, proxy.ts: 4ms, render: 27ms)
 GET /test-chat-timeout 200 in 33ms (compile: 6ms, proxy.ts: 5ms, render: 22ms)
 GET /test-chat-timeout 200 in 29ms (compile: 4ms, proxy.ts: 4ms, render: 20ms)
 GET /test-chat-timeout 200 in 26ms (compile: 4ms, proxy.ts: 5ms, render: 17ms)
 GET /test-chat-timeout 200 in 46ms (compile: 4ms, proxy.ts: 6ms, render: 37ms)
 GET /test-chat-timeout 200 in 32ms (compile: 4ms, proxy.ts: 4ms, render: 24ms)
 GET /test-chat-timeout 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /test-chat-timeout 200 in 33ms (compile: 5ms, proxy.ts: 5ms, render: 24ms)
 GET /test-chat-timeout 200 in 49ms (compile: 5ms, proxy.ts: 4ms, render: 40ms)
 GET /test-chat-timeout 200 in 47ms (compile: 3ms, proxy.ts: 5ms, render: 39ms)
 GET /test-chat-timeout 200 in 31ms (compile: 3ms, proxy.ts: 5ms, render: 23ms)
 GET /test-chat-timeout 200 in 32ms (compile: 5ms, proxy.ts: 5ms, render: 22ms)
 GET /test-chat-timeout 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 22ms)
 GET /test-chat-timeout 200 in 31ms (compile: 4ms, proxy.ts: 5ms, render: 22ms)
 GET /test-chat-timeout 200 in 32ms (compile: 4ms, proxy.ts: 5ms, render: 23ms)
 GET /test-chat-timeout 200 in 38ms (compile: 4ms, proxy.ts: 5ms, render: 29ms)
 GET /test-chat-timeout 200 in 29ms (compile: 4ms, proxy.ts: 4ms, render: 21ms)
 GET /test-chat-timeout 200 in 31ms (compile: 4ms, proxy.ts: 5ms, render: 22ms)
 GET /test-chat-timeout 200 in 32ms (compile: 5ms, proxy.ts: 5ms, render: 22ms)
 GET /test-chat-timeout 200 in 34ms (compile: 5ms, proxy.ts: 6ms, render: 23ms)
 GET /test-chat-timeout 200 in 31ms (compile: 5ms, proxy.ts: 5ms, render: 21ms)
 GET /test-chat-timeout 200 in 30ms (compile: 3ms, proxy.ts: 5ms, render: 22ms)
 GET /test-chat-timeout 200 in 58ms (compile: 5ms, proxy.ts: 5ms, render: 49ms)
 GET /test-chat-timeout 200 in 60ms (compile: 6ms, proxy.ts: 5ms, render: 49ms)
 GET /test-chat-timeout 200 in 41ms (compile: 4ms, proxy.ts: 9ms, render: 27ms)
 GET /test-chat-timeout 200 in 58ms (compile: 4ms, proxy.ts: 6ms, render: 48ms)
 GET /test-chat-timeout 200 in 38ms (compile: 4ms, proxy.ts: 6ms, render: 28ms)
 GET /test-chat-timeout 200 in 35ms (compile: 5ms, proxy.ts: 5ms, render: 25ms)
 GET /test-chat-timeout 200 in 36ms (compile: 4ms, proxy.ts: 5ms, render: 27ms)
 GET /test-chat-timeout 200 in 32ms (compile: 3ms, proxy.ts: 6ms, render: 22ms)
 GET /test-chat-timeout 200 in 31ms (compile: 5ms, proxy.ts: 4ms, render: 22ms)
 GET /test-chat-timeout 200 in 38ms (compile: 3ms, proxy.ts: 4ms, render: 30ms)
 GET /test-chat-timeout 200 in 53ms (compile: 5ms, proxy.ts: 6ms, render: 43ms)
 GET /test-chat-timeout 200 in 31ms (compile: 3ms, proxy.ts: 5ms, render: 22ms)
 GET /test-chat-timeout 200 in 34ms (compile: 4ms, proxy.ts: 4ms, render: 25ms)
 GET /test-chat-timeout 200 in 32ms (compile: 4ms, proxy.ts: 6ms, render: 21ms)
 POST /api/ai/chat-test-timeout?mode=error 500 in 34ms (compile: 21ms, proxy.ts: 7ms, render: 6ms)
 GET /test-chat-timeout 200 in 67ms (compile: 6ms, proxy.ts: 4ms, render: 57ms)
 GET /test-chat-timeout 200 in 63ms (compile: 7ms, proxy.ts: 6ms, render: 50ms)
 GET /test-chat-timeout 200 in 52ms (compile: 4ms, proxy.ts: 6ms, render: 42ms)
 GET /test-chat-timeout 200 in 34ms (compile: 3ms, proxy.ts: 6ms, render: 25ms)
 GET /test-chat-timeout 200 in 33ms (compile: 6ms, proxy.ts: 5ms, render: 22ms)
 GET /test-chat-timeout 200 in 31ms (compile: 5ms, proxy.ts: 5ms, render: 21ms)
 GET /test-chat-timeout 200 in 28ms (compile: 4ms, proxy.ts: 5ms, render: 19ms)
 GET /test-chat-timeout 200 in 25ms (compile: 3ms, proxy.ts: 4ms, render: 18ms)
 GET /test-chat-timeout 200 in 32ms (compile: 3ms, proxy.ts: 5ms, render: 24ms)
 GET /test-chat-timeout 200 in 56ms (compile: 12ms, proxy.ts: 8ms, render: 36ms)
 GET /test-chat-timeout 404 in 591ms (compile: 466ms, proxy.ts: 5ms, render: 120ms)
 GET /test-chat-timeout 200 in 90ms (compile: 21ms, proxy.ts: 7ms, render: 62ms)
 GET /test-chat-timeout 200 in 121ms (compile: 4ms, proxy.ts: 8ms, render: 108ms)
 GET /api/verify-duplicate-holdings 200 in 820ms (compile: 266ms, proxy.ts: 4ms, render: 550ms)
 GET /test-chat-timeout 200 in 512ms (compile: 198ms, proxy.ts: 259ms, render: 55ms)
 GET /test-chat-timeout 200 in 60ms (compile: 3ms, proxy.ts: 12ms, render: 45ms)
 GET /test-chat-timeout 200 in 36ms (compile: 8ms, proxy.ts: 6ms, render: 22ms)
 GET /test-chat-timeout 200 in 32ms (compile: 4ms, proxy.ts: 5ms, render: 23ms)
 GET /test-chat-timeout 200 in 29ms (compile: 4ms, proxy.ts: 6ms, render: 20ms)
 GET /test-chat-timeout 200 in 29ms (compile: 5ms, proxy.ts: 5ms, render: 19ms)
 GET /test-chat-timeout 200 in 31ms (compile: 4ms, proxy.ts: 5ms, render: 22ms)
 GET /test-chat-timeout 200 in 27ms (compile: 4ms, proxy.ts: 4ms, render: 19ms)
 GET /test-chat-timeout 200 in 26ms (compile: 3ms, proxy.ts: 5ms, render: 18ms)
 GET /test-chat-timeout 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 20ms)
 GET /test-chat-timeout 200 in 49ms (compile: 4ms, proxy.ts: 5ms, render: 40ms)
 GET /test-chat-timeout 200 in 30ms (compile: 3ms, proxy.ts: 5ms, render: 21ms)
 GET /test-chat-timeout 200 in 32ms (compile: 4ms, proxy.ts: 5ms, render: 23ms)
 GET /test-chat-timeout 200 in 33ms (compile: 4ms, proxy.ts: 6ms, render: 23ms)
 GET /test-chat-timeout 200 in 26ms (compile: 4ms, proxy.ts: 5ms, render: 17ms)
 GET /test-chat-timeout 200 in 30ms (compile: 3ms, proxy.ts: 5ms, render: 22ms)
 GET /test-chat-timeout 200 in 31ms (compile: 4ms, proxy.ts: 4ms, render: 22ms)
 GET /test-chat-timeout 200 in 28ms (compile: 4ms, proxy.ts: 5ms, render: 19ms)
 GET /test-chat-timeout 200 in 55ms (compile: 4ms, proxy.ts: 4ms, render: 46ms)
 GET /test-chat-timeout 200 in 30ms (compile: 4ms, proxy.ts: 6ms, render: 20ms)
 GET /test-chat-timeout 200 in 32ms (compile: 4ms, proxy.ts: 5ms, render: 23ms)
 GET /test-chat-timeout 200 in 30ms (compile: 5ms, proxy.ts: 6ms, render: 19ms)
 GET /test-chat-timeout 200 in 28ms (compile: 4ms, proxy.ts: 4ms, render: 19ms)
 GET /test-chat-timeout 200 in 31ms (compile: 4ms, proxy.ts: 5ms, render: 22ms)
 GET /test-chat-timeout 200 in 34ms (compile: 5ms, proxy.ts: 5ms, render: 24ms)
 GET /test-chat-timeout 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 19ms)
 GET /test-chat-timeout 200 in 30ms (compile: 4ms, proxy.ts: 4ms, render: 22ms)
 GET /test-chat-timeout 200 in 53ms (compile: 7ms, proxy.ts: 5ms, render: 41ms)
 GET /test-chat-timeout 200 in 43ms (compile: 3ms, proxy.ts: 4ms, render: 37ms)
 GET /test-chat-timeout 200 in 45ms (compile: 3ms, proxy.ts: 4ms, render: 37ms)
 GET /test-chat-timeout 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /test-chat-timeout 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 19ms)
 GET /test-chat-timeout 200 in 29ms (compile: 4ms, proxy.ts: 4ms, render: 20ms)
 GET /test-chat-timeout 200 in 47ms (compile: 4ms, proxy.ts: 4ms, render: 38ms)
 GET /test-chat-timeout 200 in 30ms (compile: 4ms, proxy.ts: 6ms, render: 21ms)
 GET /test-chat-timeout 200 in 43ms (compile: 4ms, proxy.ts: 5ms, render: 34ms)
 GET /test-chat-timeout 200 in 38ms (compile: 4ms, proxy.ts: 5ms, render: 29ms)
 GET /test-chat-timeout 200 in 23ms (compile: 3ms, proxy.ts: 4ms, render: 16ms)
 GET /test-chat-timeout 200 in 22ms (compile: 3ms, proxy.ts: 4ms, render: 16ms)
 GET /test-chat-timeout 200 in 22ms (compile: 3ms, proxy.ts: 3ms, render: 16ms)
 GET /test-chat-timeout 200 in 21ms (compile: 3ms, proxy.ts: 3ms, render: 15ms)
 GET /test-chat-timeout 200 in 41ms (compile: 3ms, proxy.ts: 3ms, render: 35ms)
